LINGUA;Inicial;Palavra;SIGNIFICADO;Número de registros
Português (Palavras com origem nativa);A;Arapuca;branco (cor);1
Português (Palavras com origem nativa);A;Araripe;apiaká (índio);1
Português (Palavras com origem nativa);A;Aru;cair;1
Português (Palavras com origem nativa);A;Apiacá;vermelho;1
Português (Palavras com origem nativa);A;Arapuã;nariz, ponta;1
Português (Palavras com origem nativa);A;Anu;carapanã;1
Português (Palavras com origem nativa);A;Araponga;caçar;1
Português (Palavras com origem nativa);A;Arara;ribeiro;1
Português (Palavras com origem nativa);A;Araçoiaba;"para; quando";1
Português (Palavras com origem nativa);A;Anhembi;urucu;1
Português (Palavras com origem nativa);A;Aracaju;com;1
Português (Palavras com origem nativa);A;Arapoti;pequeno;1
Português (Palavras com origem nativa);A;Araraquara;branco, homem branco;1
Português (Palavras com origem nativa);A;Araranguá;porco;1
Português (Palavras com origem nativa);A;Araxá;tatu;1
Português (Palavras com origem nativa);A;Arujá;chiqueiro;1
Português (Palavras com origem nativa);A;Avaí;moradores do rio abaixo;1
Português (Palavras com origem nativa);A;Avaré;batata;1
Português (Palavras com origem nativa);A;Anhangabaú;macaco-aranha (cuatá);1
Português (Palavras com origem nativa);A;Anhanguera;Deus;1
Português (Palavras com origem nativa);A;Anhatomirim;o chefe;1
Português (Palavras com origem nativa);A;Araguaia;tornar-se;1
Português (Palavras com origem nativa);A;Araci;pegar;1
Português (Palavras com origem nativa);A;Araçá;perto;1
Português (Palavras com origem nativa);A;Araueté;bracelete, pulseira;1
Português (Palavras com origem nativa);B;Babaçu;"Do Tupi-Guarani: ibá-guaçu = fruto grande.
O babaçu é uma palmeira típica do Norte e Nordeste brasileiro e principal produto do extrativismo vegetal do Maranhão. Sua palha é utilizada para confecção de cestos e artesanato. Seus frutos (cocos) têm propriedades medicinais e é utilizado como suplemento alimentar. Das sementes se extrai um óleo utilizado na industria de cosméticos e que também como bio-combustível.";1
Português (Palavras com origem nativa);B;Babaçulândia;Palavra híbrida do Tupi-Guarani babaçu = palmeira e do inglês land = terra.;1
Português (Palavras com origem nativa);B;Bacaetava;"Do Tupi=Guarani: boca-ita-aba - lugar da pedra furada, gruta.
Bairro e afluente da margem esquerda do Sorocaba, no município de Araçoiaba da Serra, SP; Distrito do município de Iperó, SP; grutas do município de Colombo, PR.";1
Português (Palavras com origem nativa);B;Baepi;"Do Tupi-Guarani mbaé = coisa; pi(na) = raspado; => coisa raspada, pelada.";1
Português (Palavras com origem nativa);B;Bapo;"Do Boróro (Macro-Jê): bóe - coisa; á - superfície; pó - esférico.
Ritmador de cantos e danças dos Boróro Orarimugudugues do Araguaia.";1
Português (Palavras com origem nativa);B;Bacoparé;"árvore gutífera; bacupari-miúdo";1
Português (Palavras com origem nativa);B;Bacuri;"Também nome de árvore gutífera.
Tribo das nascentes do Arinos, no estado do Mato Grosso.
Tribo Tupi do lago Saracá, AM.
Lagoa do município de Magalhães de Almeida, AM.
Antigo nome do município de Santa Quitéria do Maranhão.";1
Português (Palavras com origem nativa);B;Bacurubu;"Do Tupi-Guarani ibá-curu-bu => fruto áspero e preto,
Nome de um afluente da margem direita do Tietê, no município de Guarulhos e Moji das Cruzes, SP.";1
Português (Palavras com origem nativa);B;Bapeba;"Do Tupi-Guarani: (i)ba = árvore ou (i)bá - fruta; peba (peva) = chato, achatado, baixo.";1
Português (Palavras com origem nativa);B;Baraúna;"Do Tupi-Guarani: (i)bara por ibira - pau, madeira, árvore; una - preto.
Localidade na margem direita do São Francisco, próximo da divisa PE/ BA e de Juazeiro, na BA;
Localidade nas proximidades do Tracunhaém, PE;
Povoado no município de Belo Oriente, MG;
Localidade no município de Bom Jesus do Itabapoana, RJ;
Localidade no município de Aliança, PE;
Cidade da Paraíba;
Cidade do Rio Grande do Norte;
Areia de Baraúnas, cidade da PB.";1
Português (Palavras com origem nativa);B;Bagual;"Cavalo que se tomou selvagem; espantadiço, assustadiço; muito grande; cavalo reprodutor; pouco sociável.
1) Do Araukano cahual = cavalo
2) Do Guarani bacuá = rapidez, velocidade
3) Do Guarani baguá = mortal (perigoso para montar).";1
Português (Palavras com origem nativa);B;Bichano; Proviria de bicho. Do Wapixána (Aruák) pixana – o que arranha.;1
Português (Palavras com origem nativa);B;Biriba;"BIRIBA - O termo tem várias denominações, entre elas serve para designar o tropeiro. O primeiro presidente civil do Brasil, Prudente de Morais, foi apelidado pejorativamente de Biriba porque seu pai fora tropeiro. Um dos ""biribas"" mais famosos da história do país, no entanto, era o fiel mascote do Botafogo na década de 1940.

Biriba era um cachorro de rua que andava pelas bandas da pensão em que morava o zagueiro (naquela época ainda era beque) Macaé. Certo dia, em 1948, Macaé levou Biriba a um jogo do Botafogo contra Bonsucesso. Lá pelas tantas, o vira-lata saiu em disparada para o campo e fez xixi na trave defendida pelo goleiro do Bonsucesso; nem bem Biriba acabou de baixar a pata, o Botafogo marcou um gol. O então presidente do time, Carlito Rocha, imediatamente elevou Biriba ao status de talismã. Com Biriba em campo, o Bota passou a ganhar todas, o danado do cachorro foi perseguido torcedores de outras equipes, chegou a sofrer atentado a tiros de um vascaíno. Carlito Rocha ordenou que o zagueiro Macaé passasse a experimentar a comida e a bebida do talismã para se certificar que não estavam envenenadas. O,Botafogo, que não levantava a taça desde 1934, foi campeão carioca vencendo o Vasco por 3 x 1 e consagrando o cachorro Biriba.";1
Português (Palavras com origem nativa);B;Bagé;"Pajé.
Cidade e Município do RS, Zona da Campanha.";1
Português (Palavras com origem nativa);B;Bacurau;"Dito do indivíduo que costuma sair à noite.
Alcunha do negro e crioulo no RJ e Juiz de Fora, MG.";1
Português (Palavras com origem nativa);B;Baguari;"Do Tupi-Guarani mbaé-guari = coisa tortuosa.
Vila e distrito do município de Govemador Valadares, MG ;
Ribeirão afluente da margem direita do Tietê, SP.";1
Português (Palavras com origem nativa);B;Bairari;Espécie de ave.;1
Português (Palavras com origem nativa);B;Baitaca;"Do Tupi-Guarani: mbaé-taca = coisa ruidosa, barulhenta.
São encontradas normalmente aos pares e tem um grito muito alto.";1
Português (Palavras com origem nativa);B;Biguá;Do Tupi-Guarani: mbi-guá = pé redondo.;1
Português (Palavras com origem nativa);B;Bagre-ariaçu;"Do Tupi-Guarani: ari = bagre; açu = grande.";1
Português (Palavras com origem nativa);B;Baiacu;Do Tupi-Guarani grafia antiga maiacu de mbaé-acu = a coisa quente, venenosa, por causa do seu fel.;1
Português (Palavras com origem nativa);B;Baiacu-arara;Do Tupi-Guarani grafia antiga maiacu de mbaé-acu = a coisa quente, venenosa, por causa do seu fel + arara (em referência à semelhança com a ave).;1
Português (Palavras com origem nativa);B;Barbatimão;"Do Tupi-Guarani: bar por ibira = árvore; aba-r-emó = aba-t-emó = pênis; a árvore do órgão genital do homem.";1
Português (Palavras com origem nativa);B;Baependi;"1) Do Tupi-Guarani maependi ou mapa-endi; mbaé-pindi = o limpo, a clareira; alusão a uma clareira às margens do rio Grande, que facilitava a passagem para Minas Gerais;
2) Do Tupi-Guarani mabaepindi = pouso bom, alegre.

Rio no município homônimo em MG.";1
Português (Palavras com origem nativa);B;Biguaçu;"Do Tupi-Guarani: biguá + açu = biguá grande.
Biguaçu fica ao lado de Florianópolis, no continente.";1
Português (Palavras com origem nativa);B;Botucatu;"Do Tupi-Guarani: ""Ybytu katu"" = ""bons ares"".";1
Português (Palavras com origem nativa);B;Boitatá;"Do tupi guarani m(baé) – coisa; tatá – fogo; coisa de fogo.";1
Português (Palavras com origem nativa);B;Bacabal;bosque de bacabas (palmeiras);1
Português (Palavras com origem nativa);B;Bacanga;"A palavra é de origem Tupi-Guarani e o significado pode ser:
1) ibá = fruto; canga = seco; => fruto seco;
2) ibá = fruto; canga = caroço; => caroço de fruta, coco
3) aba = homem; acanga = cabeça; => cabeça de homem
4) ibá-canga = o galho de fruta; a cabeceira das frutas.

Afluente salgado da margem direita do Gurupi, MA. 
Bairro de São Luís do Maranhão.";1
Português (Palavras com origem nativa);B;Bacopari;Cabo de Bacopari - no litoral do município de Baía Formosa, no estado de Rio Grande do Norte.;1
Português (Palavras com origem nativa);B;Bacurituba;"Do Tupi-Guarani bacuri-tuba = lugar com muitos bacuris; bacurizal.";1
Português (Palavras com origem nativa);B;Barbaquá;"1) Do Tupi-Guarani: bar (ibira) = árvore, madeira; quá = buraco
2) Do Taíno (Aruák): barbacoa

No Guarani se diz taquapembi (grade de taquaras).

Jirau ou grade de varas sobre forquilhas, onde se estende a erva-mate para sapecá-la com fogo.
Afluente da margem esquerda do Piquiri, no município de Guaraniaçu, PR.";1
Português (Palavras com origem nativa);B;Babitonga;"Do tupi guarani mbaé – coisa; pitanga(bitonga) – vermelho; coisa vermelha.
Vapor Babitonga foi o primeiro meio de transporte marítimo de passageiros e cargas de São Francisco do Sul a Joinville, entrou em operação em 1878, e durante anos foi um importante meio de transporte entra estas localidades.
Baía do litoral de SC, entre a Ilha de São Francisco e o continente.";1
Português (Palavras com origem nativa);B;Barigui;"Do Tupi-Guarani: mberu = mosca; i = diminutivo; => mosquitinho.
Parque na cidade de Curitiba, no início da estrada para Ponta Grossa.";1
Português (Palavras com origem nativa);B;Bertioga;Do Tupi-Guarani: parati + oca => baratioca => bartioga => bertioga = refúgio, paradeiro das tainhas.;1
Português (Palavras com origem nativa);B;Beruri;"Beruri em tupi-guarani significa literalmente ""rio do mosquito"" (mberu + i).";1
Português (Palavras com origem nativa);B;Biboca;"Do tupi: ïbi: terra +boka: gerúndio de fender-se.
Lugar difícil de morar. Lugarejo distante, de difícil acesso.
Sulco feito por enxurradas que torna difícil e até perigoso o trânsito.
Na Bahia, significa lugar simples para beber. Uma pequena barraca, um ponto humilde.";1
Português (Palavras com origem nativa);B;Butantã;"Do Tupi-Guarani: bu (ibi) = terra; tatã (atã, tantã) = muito duro.
Instituto Butantã, centro de estudos biomédicos localizado na cidade de São Paulo, no bairro de mesmo nome.";1
Português (Palavras com origem nativa);B;Baixo Guandu;"Guandu é o nome popular de um arbusto da família das Fabáceas (ex-Leguminosas), sub-família das Papilionáceas.

Planta de origem africana, trazida ao Brasil pelos escravos. É uma leguminosa, serve para forragem e também para consumo humano. Também é nome de um rio e cidade do estado do Espirito Santo.";1
Português (Palavras com origem nativa);B;Boiçucanga;"Do Tupi-Guarani: boiçu = cobra grande; acanga = cabeça; => cabeça de cobra grande.";1
Português (Palavras com origem nativa);B;Bacaba;"Do Tupi-Guarani: ibá = fruto; caba = óleo, gordura => fruta oleosa";1
Português (Palavras com origem nativa);B;Baguaçu;"Do Tupi-Guarani: ari = bagre; açu = grande.
O babaçu é uma palmeira típica do Norte e Nordeste brasileiro e principal produto do extrativismo vegetal do Maranhão. Sua palha é utilizada para confecção de cestos e artesanato. Seus frutos (cocos) têm propriedades medicinais e é utilizado como suplemento alimentar. Das sementes se extrai um óleo utilizado na industria de cosméticos e que também como bio-combustível.";1
Português (Palavras com origem nativa);B;Buriti;"Do Tupi-Guarani: mbur = alimento; iti = árvore alta; => árvore alta de alimento ou de vida.
O termo butiá é a designação comum às palmeiras do gênero Butia, nativas da América do Sul.
Possuem em geral estipe médio, com cicatriz de pecíolos antigos, longas folhas e pequenas drupas comestíveis, com semente oleaginosa.";1
Português (Palavras com origem nativa);B;Butiá;"Do Tupi-Guarani: mbutiai = a palmeira; ibati = arvore alta.";1
Português (Palavras com origem nativa);B;Bacajá;"Indígenas do município de Senador José Porfírio, no estado do Pará.
Também o nome de uma espécie de palmeira (Acrocomia eriocantha).";1
Português (Palavras com origem nativa);B;Bororo;"Do Tupi-guarani: boro por mboro = gente; (i)rô = zangado; => gente zangada.
Uma das maiores tribos do Brasil central, cujo território atravessava todo o centro do MT, da Bolívia ao triângulo mineiro.";1
Português (Palavras com origem nativa);C;Cacuá;"a) do Tupi-Guarani: ca(ba)-açu-á = vespa grande, cabuçu;
b) do Tupi-Guarani: caçu-á = vespão em pé, assanhado (Alfredo de Carvalho);
c) do Tupi-Guarani: caá-açoiá = a cobertura de folhas; o anteparo de folhagem; a trama ou tecido de paus ou cipós;
d) do Tupi-Guarani: caá-açoiá = cesto para transporte.

Rede para pesca, de malhas largas;
Variedade de vespa;
Cesto, jacá grande e oblongo de bambu, com orelhas para o transporte em alimária;
Antigo engenho do município de Escada, PE.";1
Português (Palavras com origem nativa);C;Capixaba;Segundo os estudiosos da língua tupi, capixaba significa, roça, roçado, terra limpa para plantação. Os índios que aqui viviam chamavam de capixaba sua plantação de milho e mandioca. Com isso, a população de Vitória passou a chamar de capixabas os índios que habitavam na região e depois o nome passou a denominar todos os moradores do Espírito Santo.;1
Português (Palavras com origem nativa);C;Caçapava;"Do Tupi-Guarani: caá-açapaba = a clareira ou abertura na floresta, travessia da mata.
Serra de Caçapava no RS, entre Caçapava do Sul e o Camaquã.";1
Português (Palavras com origem nativa);C;Capoeira;"Do Tupi guarani caá-poera = roça velha.
Arte marcial brasileira que através dos seus gingados, apresenta golpes de ataque e defesa. Grande expressão da cultura popular brasileira, nascida da ânsia de liberdade no período entre o brasil colônia e Império.";1
Português (Palavras com origem nativa);C;Cumbica;É o nome de uma árvore.;1
Português (Palavras com origem nativa);C;Cabiúna;"Do Tupi-Guarani: caá-piúna = a folha escura, a madeira preta.
Assim eram chamados os negros desembarcados clandestinamente no litoral brasileiro, após a lei de repressão ao tráfico; cor de cabiúna, escuro, preto; cavalo negro;
Serra no município de São Fidélis, RJ;
Vila e estação da Leopoldina, RJ;
Usina de açúcar e distrito de Macaé, RJ.";1
Português (Palavras com origem nativa);C;Cajaíba;Acayá-yba = árvore do cajá;1
Português (Palavras com origem nativa);C;Cajueiro;Árvore da família das Anacardeáceas,originário do norte e do nordeste do Brasil. Na natureza existem dois tipos: o comum ( ou gigante), que pode chegar até a 10 metros de altura e o anão, que tem altura média de 4 metros. Seu fruto é a castanha, que tem em seu interior uma amêndoa.;1
Português (Palavras com origem nativa);C;Cupuaçu;"Árvore de médio porte, muito cultivada pelo caboclo amazonense, de cujo fruto , uma grande cápsula com sementes e polpa aromática e saborosa, se fazem doces e sucos.
O cupuaçu é ¨parente ¨ do cacau, que tem o nome de ¨Theobroma Cacau¨.";1
Português (Palavras com origem nativa);C;Cabreúva;"Do tupi: kabu'ré iwa, árvore do caburé.
Nativa do nordeste, sudeste e sul do Brasil. Chega a até 30 metros de altura.
A serragem da carnaúba é usada em perfumaria.
O bálsamo é obtido por incisão no tronco.
A casca, folhas e frutos tem uso medicinal.
Cidade no interior de São Paulo, área de Mata Atlântica.";1
Português (Palavras com origem nativa);C;Capivara;"Do tupi ""kapii' guara"" = comedor de capim";1
Português (Palavras com origem nativa);C;Cutia;"Do Tupi-Guarani: a-coti = indivíduo que se assenta para comer.
Nome popular de um animal mamífero, herbívoro , roedor, de pequeno porte, medindo de 50 à 65 cm de comprimento. Não possue cauda e tem pés compridos, com 5 dedos providos de unhas afiadas. Existem 7 espécies de cutia que ocorrem no território brasileiro.";1
Português (Palavras com origem nativa);C;Cutiaia;Mamífero roedor da família dos Dasiproctídeos, menor que a cutia comum e com pequena cauda.;1
Português (Palavras com origem nativa);C;Cabapuã;"De acordo com Clovis Chiaradia a origem da palavra é Tupi-Guarani e pode vir de 3 combinações:
1) caba = vespa; puã = levantar-se, erguer-se; => vespa que dá no alto
2) caba = vespa; apuã = redondo; => abelha de ninho redondo
3) caba = vespa; poama = assanhados, em pé; => abelha assanhada.";1
Português (Palavras com origem nativa);C;Cabatatu;"Nome científico: (Synoeca cyanoa)
Do Tupi-Guarani: caba = vespa; tatu; => vespa-tatu (ninho semelhante ao casco do tatu).";1
Português (Palavras com origem nativa);C;Caçununguçu;"Do Tupi-Guarani:
caçununga+açu = a caçununga grande.";1
Português (Palavras com origem nativa);C;Cupim;"Do Tupi-Guarani copii = o que é roçado.
Inseto da Ordem Isoptera, com 7 famílias e mais de 2800 espécies catalogadas. É considerado uma praga perigosa que ataca a madeira e produtos agrícolas. A maioria das espécies vive nas regiões tropicais e sub-tropicais mas também pode ser encontrado na Europa e América do Norte. Também é chamado de térmite.";1
Português (Palavras com origem nativa);C;Caçaroba;"Do Tupi-Guarani: (a)ca-çu - cabeça grande; roba - tapado.";1
Português (Palavras com origem nativa);C;Cachimbó;Ave passeriforme furnarídea;1
Português (Palavras com origem nativa);C;Caracaraí;Nome dado pelos indígenas a um pequeno gavião, comum na região, deu origem ao nome do Município, no estado de Roraima.;1
Português (Palavras com origem nativa);C;Curió;Ave de pequeno porte, procurados por colecionadores interessados em sua beleza e canto. Conhecido também como avinhado.;1
Português (Palavras com origem nativa);C;Caramuru;"Do Tupi guarani cará = o branco; muru = o poder.
Diogo Álvares Correia (Viana do Castelo, Portugal, c. 1475 — Tatuapara, Salvador, 5 de outubro de 1557) foi um náufrago português que passou a vida entre os indígenas da costa do Brasil e que facilitou o contato dos primeiros viajantes europeus com os povos nativos do Brasil. Recebeu a alcunha de Caramuru (palavra tupi que significa lampreia) pelos Tupinambás. É considerado o fundador do município baiano de Cachoeira (Bahia).";1
Português (Palavras com origem nativa);C;Cacaulândia;Palavra híbrida do Náhuatl cacau + do inglês land.;1
Português (Palavras com origem nativa);C;Cachoeira de Itaúna;"Do Tupi-Guarani: 
ita = pedra;
una = preta.";1
Português (Palavras com origem nativa);C;Caiobá;"Do tupi guarani cai = macaco; ubá por iba = fruto; => fruto de macaco.
Praia a 5 km de S. de Matinhos, PR.";1
Português (Palavras com origem nativa);C;Camaçari;"Tupi-Guarani: camasari = a lágrima do peito.
Árvore combretácea semelhante ao tamaquaré.";1
Português (Palavras com origem nativa);C;Cuiabá;"Do Tupi-Guarani: cuiabá = gente forte.
Indígenas da região de Cuiabá. Capital do MT.";1
Português (Palavras com origem nativa);C;Curitiba;"Do Tupi Guarani Curi = pinhão; TIBA = lugar.
Nome da capital do Paraná significa, terra dos pinheirais, terra de muito pinhão.";1
Português (Palavras com origem nativa);C;Catuaba;"Do tupi guarani caá = planta, folha, mato + tuã = taludo + ibá = árvore.
Nome popular e genérico de plantas nativas do Brasil, a saber:
1- planta da família das Eritroxiláceas;
2- planta da família das Bignonoáceas.
Também é uma bebida alcoólica originária do Brasil, a qual se atribuem propriedades afrodisíacas. É preparada a partir de diversas plantas que popularmente levam o nome de catuaba, entre as quais Erythroxylum catuaba, embiruçu, Anemopaegma glaucum e Avenco paegma mirandum .
A bebida é preparada com os ramos, a casca da raiz e as folhas da planta. Com efeitos a longo prazo, além de aumentar a libido, a planta estimula o sistema nervoso central, é usada contra insônia, nervosismo e melhora a memória. Pode ser usada para aumentar a libido em homens e mulheres, e os primeiros sinais são os sonhos eróticos e depois um grande aumento no desejo sexual. Uma pesquisa realizada pela Unicamp, em alunos da engenharia, comprovou os efeitos.";1
Português (Palavras com origem nativa);C;Caxiri;"Bebida fermentada indígena, um tipo de cerveja, à base de mandioca.
Sempre preparado pelas mulheres, o caxiri é feito em grandes quantidades durante as festas indígenas e os mutirões, ou trabalhos coletivos, na derrubada ou plantio das roças. E também uma bebida que permite ao pajé o acesso ao mundo do sobrenatural, durante os rituais do Turé e da tocai. Nestas ocasiões, tanto o pote quanto o caxiri, transformam-se em “entidades sobrenaturais"", presentes também na cosmologia indígena.";1
Português (Palavras com origem nativa);C;Caapora;"Do Tupi-Guarani: caá = mato; pora = morador.
CAAPORÃ é o nome de uma cidade da Paraíba. Do Tupi-Guarani; caá = mato, morro; porã = bonito.";1
Português (Palavras com origem nativa);C;Caboclo;Kariboka - procedente do branco - mestiço de branco com índio - cariboca - carijó - antiga denominação do indígena - caburé - tapuio - personificação e divinização de tribos indígenas segundo o modelo dos cultos populares de origem africana, paramentada, porém, com os trajes cerimoniais dos antigos tupis - atualmente, designação genérica dos moradores das margens dos rios da Amazônia.;1
Português (Palavras com origem nativa);C;Cacique;"morubixaba; manda-chuva
Cacico: título dos chefes mexicanos antes da conquista
Do Taíno Antilhano (Aruák) - cazia, caciqui, caxicus, casiche - chefe.";1
Português (Palavras com origem nativa);C;Caiçara;"Do Tupi Guarani caá-içara = a cerca de ramos.
Palavra de origem tupi, que se referia aos habitantes das zonas litorâneas. As comunidades caiçaras surgiram a partir do sec. XVI, com a mistura de brancos e índios. Caiçara também é o nome de dois municípios: um no estado da Paraíba e outro no Rio Grande do Sul.";1
Português (Palavras com origem nativa);C;Caipira;"Do Tupi-Guarani: caaipura = de dentro do mato.
Nome que os índios do interior de São Paulo deram aos colonizadores. Atualmente é designação genérica dada aos habitantes de regiões do interior do Sudeste e Centro-Oeste. Pessoa do interior, da roça. Inocente, tímido.";1
Português (Palavras com origem nativa);C;Caipora;"Caipora: caapora - kaa'pora. É um Mito do Brasil que os índios já conheciam desde a época do descobrimento. Índios e Jesuítas o chamavam de Caiçara, o protetor da caça e das matas.
É um anão de Cabelos Vermelhos com Pelo e Dentes verdes. Como protetor das Árvores e dos Animais, costuma punir o os agressores da Natureza e o caçador que mate por prazer. É muito poderoso e forte. Seus pés voltados para trás servem para despistar os caçadores, deixando-os sempre a seguir rastros falsos. Quem o vê, perde totalmente o rumo, e não sabe mais achar o caminho de volta. É impossível capturá-lo. Para atrair suas vítimas, ele, às vezes chama as pessoas com gritos que imitam a voz humana. É também chamado de Pai ou Mãe-do-Mato, Curupira e Caapora. Para os Índios Guaranis ele é o Demômio da Floresta. Às vezes é visto montando um Porco do Mato.
Uma carta do Padre Anchieta datada de 1560, dizia: ""Aqui há certos demônios, a que os índios chamam Curupira, que os atacam muitas vezes no mato, dando-lhes açoites e ferindo-os bastante"". Os índios, para lhe agradar, deixavam nas clareiras, penas, esteiras e cobertores.
De acordo com a crença, ao entrar na mata, a pessoa deve levar um Rolo de Fumo para agradá-lo, no caso de cruzar com Ele.";1
Português (Palavras com origem nativa);C;Canga;"Boissucanga - esqueleto de cobra grande ou cobra de cabeça grande;
Iacanga - olho d'água;
No truco, cangar é empatar, cabeça a cabeça.";1
Português (Palavras com origem nativa);C;Canoa;Canoa ou Caique, é uma embarcação leve a remo(s) ou a vela, algumas com motor de popa. De formas finas com popa chanfrada, ou na forma da proa, geralmente com guarnição, para o motor de popa e uma ripa com suporte para pequena-armadoria para a vela.;1
Português (Palavras com origem nativa);C;Capenga;Do tupi cang = osso, e peng = torto.;1
Português (Palavras com origem nativa);C;Cumbuca; Vaso feito de cabaça na parte superior da qual se fez uma abertura circular, e destinado principalmente a conter água ou qualquer outro líquido.;1
Português (Palavras com origem nativa);C;Cunhantã;Do Tupi Guarani cunhã-antã=mulher resistente. Menina, garota.;1
Português (Palavras com origem nativa);C;Curumim;Palavra de origem tupi, e designa, de modo geral, as crianças indígenas.;1
Português (Palavras com origem nativa);C;Curupira;"Do Tupi-Guarani: curu(mi) + pira = corpo de menino.
Ser fantástico, que segundo a crença popular, habita em florestas, sua função é a de proteger as plantas e os animais, além de punir quem os agredir. O curupira é descrito como um menino ruivo e com os pés às avessas, isto é, com os calcanhares para frente; suas pegadas enganam os caçadores e seringueiros, que se perdem nas florestas.";1
Português (Palavras com origem nativa);C;Ceará;"Periquito que canta alto. Do tupi cemo = cantar forte + ara = pequena arara ou periquito, segundo José de Alencar, autor do romance ""Iracema"".

Há teorias de que o nome deriva de Siriará, caranguejos do litoral.";1
Português (Palavras com origem nativa);C;Cuíca;"(ku'ika) - espécie de rato grande com o rabo muito comprido, semelhante ao canguru.
Instrumento de percussão feito com um pequeno cilindro em uma de cujas bocas se prende uma pele bem estirada.";1
Português (Palavras com origem nativa);C;Caacupé;"Do Tupi-Guarani: caá = mato; cupê = costa, atrás; => borda do mato, por trás do mato.
CACUPÉ - Praia da ilha de Santa Catarina em Florianópolis.";1
Português (Palavras com origem nativa);C;Caaguazu;"Do Guarani: caa (káa) = mato, erva; açu (azu) = grande; => mato grande.
Distrito (município) e Departamento (estado) no Paraguai.";1
Português (Palavras com origem nativa);C;Caapiranga;"Do Tupi-Guarani: caá = planta, folha; piranga = Vermelho => folha vermelha.
Planta cujas folhas maceradas dão a pasta carajuru (ou piranga), o Vermelhão.
Mato vermelho, Folha Vermelha;
Cidade do Amazonas, Zona do Solimões-Tefé.";1
Português (Palavras com origem nativa);C;Caatinga;"Do Tupi-Guarani: caá-t-enga = o mato ralo.
Tipo de vegetação que vive no nordeste. Estas plantas só conseguem se adaptar em lugares onde tem muita seca. Caatinga na língua dos índios significa ""mata branca"", devido a falta de água as plantas da caatinga ficam quase brancas . A planta é muito especial para os nordestinos, possui um pouco de água dentro dela, mas isso ainda não é suficiente, para as pessoas que vivem no sertão nordestino.";1
Português (Palavras com origem nativa);C;Caaró;"Do Tupi-Guarani: caá-roba; caá = folha; robá = amargo; => caroba = a folha amarga.
Redução jesuítica fundada em 1628 na Província do Uruguai e atacada pelos bandeirantes de Francisco Bueno, irmão de Amador Bueno, em 163; região entre o Piratini e o Ijuí, RS.";1
Português (Palavras com origem nativa);C;Caatiba;"Caá-tiba =  o matagal, mato cerrado.
Também nome de cidade da Bahia.";1
Português (Palavras com origem nativa);C;Cabaquara;"Do Tupi-Guarani: cabara = cabra; quara = lugar, sítio; => lugar de cabra.";1
Português (Palavras com origem nativa);C;Caçandoca;"1) caiçá = cercado; ndoca = romper, quebrar
2) caá-açá-toca = a toca da encruzilhada.

Serra litorânea do município de Ubatuba, SP, na margem esquerda do ribeirão Tatuapé, no limite com Caraguatatuba, SP.";1
Português (Palavras com origem nativa);C;Caçaratiba;Do Tupi-Guarani: caiçara-tiba = abundância de cercas e tapumes, as caiçaras.;1
Português (Palavras com origem nativa);C;Cacatu;Do Tupi-Guarani: caá-catu = mato bom, salubre, fácil de penetrar.;1
Português (Palavras com origem nativa);C;Cacaupirera;"Do Náhuatl - cacau; do Tupi-Guarani - pirera = pele, invólucro.
Localidade fronteira a Manaus, demarcada em 1891.";1
Português (Palavras com origem nativa);C;Cacequi;"Do Tupi-Guarani: caá = planta, folha; cicue = Viva; => planta viva.
Afluente da margem direita do Santa Maria.";1
Português (Palavras com origem nativa);C;Cachambi;"1) Do Tupi-Guarani: caá = planta, folha; chambi = liame, corda, liga; => a corda que aperta ou liga a ramagem, a embira;
2) De caxambu (africanismo): instrumento de percussão e dança.";1
Português (Palavras com origem nativa);C;Caciquiari;"Do Karíb - cacique-ari = o rio do cacique.
Canal natural com 400 Km que liga o Orinoco (Venezuela) ao Negro (Guaínia na Venezuela), por meio do rio Siapa.";1
Português (Palavras com origem nativa);C;Cacoal;"O nome é devido à grande quantidade de cacau nativo da região.
Também nome de um povoado da margem direita do Gurupi, município de Carutapera, MA.";1
Português (Palavras com origem nativa);C;Caçoeira;"Palavra híbrida do Tupi-Guarani caçuá = rede; do Português eira - sufixo.";1
Português (Palavras com origem nativa);C;Caçu;"a) do Tupi-Guarani: caba-uçu - vespa grande; cabu- çu, cauçu, cabaçu e capuxu;
b) do Tupi-Guarani: caá-açu = caçu ~ folha, mata grande; planta das folhas grandes.

Planta malpighiácea;
Cidade e município de GO, Zona de Rio Verde;
Localidade perto Uberaba, MG;
Morro na ilha do município de Cananéia, na serra do Cordeiro, SP;
Córrego de GO, no município homônimo.";1
Português (Palavras com origem nativa);C;Caçumba;"Do Tupi-Guarani: caá = planta, mato; açu = grande; mba (ma) por ibá = fruto; fruto da árvore grande.

 Ilha do litoral da BA entre o limite com ES e a foz do Jequitinhonha,";1
Português (Palavras com origem nativa);C;Caém;"a) do Tupi-Guarani: ceae = seco, enxuto, tostado, moqueado; entra na composição de muitas palavras;
b) do Tupi-Guarani: caá = planta; é =planta doce.";1
Português (Palavras com origem nativa);C;Cacupé;"Do Tupi-Guarani: caá = mato; cupê = costa, atrás; => borda do mato, por trás do mato.
Capital de Las Cordilleras, departamento do Paraguai;
CACUPÉ - Praia da ilha de Santa Catarina em Florianópolis.";1
